Date,High,Low,Open,Close,Volume,Adj Close
2020-07-01,13.3100004196167,12.399999618530273,13.1899995803833,12.470000267028809,15603200,12.470000267028809
2020-07-02,13.109999656677246,12.569999694824219,12.789999961853027,12.569999694824219,15125100,12.569999694824219
2020-07-06,13.210000038146973,12.720000267028809,12.949999809265137,13.029999732971191,13644000,13.029999732971191
2020-07-07,12.850000381469727,12.40999984741211,12.779999732971191,12.40999984741211,10967300,12.40999984741211
2020-07-08,12.670000076293945,12.1899995803833,12.420000076293945,12.470000267028809,13122400,12.470000267028809
2020-07-09,12.579999923706055,11.699999809265137,12.470000267028809,11.779999732971191,16112800,11.779999732971191
2020-07-10,12.09000015258789,11.670000076293945,11.739999771118164,12.0600004196167,12895000,12.0600004196167
2020-07-13,12.260000228881836,11.760000228881836,12.239999771118164,11.789999961853027,13306800,11.789999961853027
2020-07-14,12.539999961853027,11.630000114440918,11.75,12.479999542236328,15884100,12.479999542236328
2020-07-15,13.180000305175781,12.729999542236328,12.989999771118164,13.0,18202100,13.0
2020-07-16,13.380000114440918,12.6899995803833,12.829999923706055,13.09000015258789,12747200,13.09000015258789
2020-07-17,13.4399995803833,12.9399995803833,13.149999618530273,13.079999923706055,16463500,13.079999923706055
2020-07-20,14.140000343322754,13.380000114440918,13.710000038146973,13.40999984741211,28342500,13.40999984741211
2020-07-21,14.920000076293945,13.979999542236328,14.050000190734863,14.319999694824219,32628300,14.319999694824219
2020-07-22,14.390000343322754,13.880000114440918,14.140000343322754,14.180000305175781,17933100,14.180000305175781
2020-07-23,14.770000457763672,13.9399995803833,13.949999809265137,14.75,19508600,14.75
2020-07-24,14.90999984741211,14.569999694824219,14.65999984741211,14.710000038146973,21901700,14.710000038146973
2020-07-27,14.930000305175781,14.479999542236328,14.699999809265137,14.899999618530273,15134100,14.899999618530273
2020-07-28,14.989999771118164,14.579999923706055,14.800000190734863,14.649999618530273,14961000,14.649999618530273
2020-07-29,15.109999656677246,14.619999885559082,14.630000114440918,15.069999694824219,13723700,15.069999694824219
2020-07-30,14.84000015258789,14.600000381469727,14.779999732971191,14.670000076293945,14688100,14.670000076293945
2020-07-31,14.59000015258789,14.100000381469727,14.399999618530273,14.329999923706055,18014500,14.329999923706055
